,0
0,ENSG00000225196
1,ENSG00000183317
2,ENSG00000215930
3,ENSG00000226601
4,ENSG00000117020
5,ENSG00000179456
6,ENSG00000206898
7,ENSG00000143878
8,ENSG00000179528
9,ENSG00000229131
10,ENSG00000239568
11,ENSG00000238359
12,ENSG00000240167
13,ENSG00000112242
14,ENSG00000234816
15,ENSG00000220130
16,ENSG00000240143
17,ENSG00000202279
18,ENSG00000125385
19,ENSG00000184321
20,ENSG00000257718
21,ENSG00000213343
22,ENSG00000076555
23,ENSG00000172458
24,ENSG00000227848
25,ENSG00000260992
26,ENSG00000228985
27,ENSG00000245750
28,ENSG00000259641
29,ENSG00000225273
30,ENSG00000270734
31,ENSG00000198417
32,ENSG00000260443
33,ENSG00000263905
34,ENSG00000231205
35,ENSG00000269811
36,ENSG00000170848
37,ENSG00000159905
38,ENSG00000168135
39,ENSG00000100321
40,ENSG00000166979
