,0
0,ENSG00000225196
1,ENSG00000183317
2,ENSG00000049089
3,ENSG00000215930
4,ENSG00000232571
5,ENSG00000265960
6,ENSG00000226601
7,ENSG00000117020
8,ENSG00000179456
9,ENSG00000206898
10,ENSG00000143878
11,ENSG00000179528
12,ENSG00000229131
13,ENSG00000215934
14,ENSG00000252333
15,ENSG00000239568
16,ENSG00000238359
17,ENSG00000223930
18,ENSG00000240167
19,ENSG00000189127
20,ENSG00000232916
21,ENSG00000234816
22,ENSG00000220130
23,ENSG00000270992
24,ENSG00000223467
25,ENSG00000240143
26,ENSG00000200587
27,ENSG00000202279
28,ENSG00000230578
29,ENSG00000134020
30,ENSG00000225347
31,ENSG00000125385
32,ENSG00000219430
33,ENSG00000203457
34,ENSG00000184321
35,ENSG00000167359
36,ENSG00000259571
37,ENSG00000257718
38,ENSG00000213343
39,ENSG00000076555
40,ENSG00000172458
41,ENSG00000227848
42,ENSG00000260992
43,ENSG00000228985
44,ENSG00000258876
45,ENSG00000260916
46,ENSG00000259641
47,ENSG00000225273
48,ENSG00000270734
49,ENSG00000260497
50,ENSG00000262714
51,ENSG00000198417
52,ENSG00000261774
53,ENSG00000260443
54,ENSG00000174327
55,ENSG00000264729
56,ENSG00000263905
57,ENSG00000105641
58,ENSG00000231205
59,ENSG00000269811
60,ENSG00000161243
61,ENSG00000170848
62,ENSG00000159905
63,ENSG00000225624
64,ENSG00000168135
65,ENSG00000100321
66,ENSG00000166979
67,ENSG00000210082
